Latitude,Longitude,Power
33.2105250398372,-97.1440954073853,-36.4561310377312
33.2105160254472,-97.1440954073853,-37.5580515940905
33.2105070110572,-97.1440954073853,-37.4819895502998
33.2104979966673,-97.1440954073853,-37.3495606244934
33.2104889822773,-97.1440954073853,-37.1239404459651
33.2104799678873,-97.1440954073853,-36.0861182758484
33.2104709534974,-97.1440954073853,-37.0178226398001
33.2104619391074,-97.1440954073853,-36.938624189328
33.2104529247174,-97.1440954073853,-37.0424104380676
33.2104439103275,-97.1440954073853,-36.972751002158
33.2104348959375,-97.1440954073853,-36.594916828357
33.2104258815475,-97.1440954073853,-36.739730042491
33.2104168671576,-97.1440954073853,-36.7136878193972
33.2104078527676,-97.1440954073853,-36.6016963290537
33.2103988383776,-97.1440954073853,-36.5349939241786
33.2103898239876,-97.1440954073853,-36.4161596447888
33.2103808095977,-97.1440954073853,-36.3909916346414
33.2103717952077,-97.1440954073853,-36.2215219628918
33.2103627808177,-97.1440954073853,-36.1474958206042
33.2103537664278,-97.1440954073853,-35.9353339297206
33.2103447520378,-97.1440954073853,-35.8448126811587
33.2103357376478,-97.1440954073853,-35.8488845545761
33.2103267232579,-97.1440954073853,-35.7671817220776
33.2103177088679,-97.1440954073853,-35.6644149586256
33.2103086944779,-97.1440954073853,-35.5787423450891
33.210299680088,-97.1440954073853,-35.4770529520031
33.210290665698,-97.1440954073853,-35.3717928326313
33.210281651308,-97.1440954073853,-35.2990726338581
33.210272636918,-97.1440954073853,-35.2093603854185
33.2102636225281,-97.1440954073853,-35.0872990852217
33.2102546081381,-97.1440954073853,-34.0923092035998
33.2102455937481,-97.1440954073853,-34.0007578112102
33.2102365793582,-97.1440954073853,-34.7171748618165
33.2102275649682,-97.1440954073853,-34.6072218900638
33.2102185505782,-97.1440954073853,-34.5364900538458
33.2102095361883,-97.1440954073853,-34.4094268868818
33.2102005217983,-97.1440954073853,-33.510036726052
33.2101915074083,-97.1440954073853,-34.201779490517
33.2101824930184,-97.1440954073853,-34.1013686664397
33.2101734786284,-97.1440954073853,-33.9653209655627
33.2101644642384,-97.1440954073853,-33.8943946088224
