Latitude,Longitude,Power
33.2151955,-97.15489463,-20.79357813
33.21518649,-97.15489463,-20.85329509
33.21517747,-97.15489463,-21.012646
33.21516846,-97.15489463,-21.261827
33.21515945,-97.15489463,-21.58261664
33.21515043,-97.15489463,-21.96347504
33.21514142,-97.15489463,-22.38434452
33.2151324,-97.15489463,-22.83393591
33.21512339,-97.15489463,-23.29558258
33.21511437,-97.15489463,-23.76711193
33.21510536,-97.15489463,-24.24044763
33.21509635,-97.15489463,-24.71205967
33.21508733,-97.15489463,-25.17634342
33.21507832,-97.15489463,-25.62972462
33.2150693,-97.15489463,-26.07332523
33.21506029,-97.15489463,-26.50571363
33.21505127,-97.15489463,-26.92611052
33.21504226,-97.15489463,-27.33308655
33.21503324,-97.15489463,-27.73260833
33.21502423,-97.15489463,-28.11271149
33.21501522,-97.15489463,-28.49131949
33.2150062,-97.15489463,-28.84953648
33.21499719,-97.15489463,-29.19742937
33.21498817,-97.15489463,-29.53449083
33.21497916,-97.15489463,-29.85914767
33.21497014,-97.15489463,-30.16858031
33.21496113,-97.15489463,-30.43729017
33.21495211,-97.15489463,-30.69291437
33.2149431,-97.15489463,-30.95670968
33.21493409,-97.15489463,-31.204349
33.21492507,-97.15489463,-31.42122822
33.21491606,-97.15489463,-31.68243388
33.21490704,-97.15489463,-31.90749241
33.21489803,-97.15489463,-32.12514077
33.21488901,-97.15489463,-32.33489826
33.21488,-97.15489463,-32.53958009
33.21487099,-97.15489463,-32.72526698
33.21486197,-97.15489463,-32.91411785
33.21485296,-97.15489463,-32.87584326
33.21484394,-97.15489463,-33.07755312
33.21483493,-97.15489463,-32.54048799
33.21482591,-97.15489463,-33.34734249
33.2148169,-97.15489463,-33.50193199
33.21480788,-97.15489463,-33.66349842
33.21479887,-97.15489463,-33.75638609
33.21478986,-97.15489463,-33.92219895
33.21478084,-97.15489463,-33.9493417
33.21477183,-97.15489463,-34.07167811
33.21476281,-97.15489463,-34.14795672
33.2147538,-97.15489463,-34.36669971
33.21474478,-97.15489463,-34.54067766
33.21473577,-97.15489463,-34.659674
33.21472676,-97.15489463,-34.80294516
33.21471774,-97.15489463,-34.94474555
33.21470873,-97.15489463,-35.20917474
33.21469971,-97.15489463,-35.23030899
33.2146907,-97.15489463,-35.24272847
33.21468168,-97.15489463,-35.49959766
33.21467267,-97.15489463,-35.63159998
33.21466365,-97.15489463,-35.81336859
33.21465464,-97.15489463,-35.93289735
33.21464563,-97.15489463,-36.11049087
33.21463661,-97.15489463,-36.11510657
33.2146276,-97.15489463,-36.37437499
33.21461858,-97.15489463,-35.50030529
33.21460957,-97.15489463,-36.54361638
33.21460055,-97.15489463,-36.97591342
33.21459154,-97.15489463,-37.0409608
33.21458252,-97.15489463,-37.15656754
33.21457351,-97.15489463,-36.90264304
33.2145645,-97.15489463,-36.99483312
33.21455548,-97.15489463,-37.08393523
33.21429406,-97.15489463,-63.25751918
33.21428505,-97.15489463,-63.23702603
33.21427604,-97.15489463,-63.21636483
33.21426702,-97.15489463,-63.19553481
33.21425801,-97.15489463,-61.38196136
33.21424899,-97.15489463,-64.35996722
33.21423998,-97.15489463,-64.31975859
33.21423096,-97.15489463,-64.28812978
33.21422195,-97.15489463,-64.24682329
33.21421293,-97.15489463,-62.78241195
33.21420392,-97.15489463,-62.7621461
33.21419491,-97.15489463,-68.31221448
33.21418589,-97.15489463,-68.32175973
33.21417688,-97.15489463,-68.3312945
33.21416786,-97.15489463,-68.34081882
33.21415885,-97.15489463,-68.34859989
33.21414983,-97.15489463,-68.35833022
33.21414082,-97.15489463,-68.36598991
33.21413181,-97.15489463,-68.37592184
33.21412279,-97.15489463,-68.38584242
33.21411378,-97.15489463,-68.39575169
33.21410476,-97.15489463,-68.4035658
33.21409575,-97.15489463,-68.41367646
33.21408673,-97.15489463,-68.42130595
33.21407772,-97.15489463,-68.43161358
33.2140687,-97.15489463,-68.44190899
33.21405969,-97.15489463,-68.45219221
33.21405068,-97.15489463,-68.45997004
33.21404166,-97.15489463,-68.47044967
33.21403265,-97.15489463,-60.82484504
33.21402363,-97.15489463,-60.84765137
