GridX,GridY,Power
22,7,-37.1117266646
22,8,-37.819647042666666
22,9,-39.10107945211111
22,10,-39.5999625336
22,11,-40.03887119388889
22,12,-41.142199852000005
22,13,-41.220769301555556
22,14,-41.341577238
22,15,-41.767178474666665
22,16,-42.32114420177419
22,17,-47.09700253705882
22,18,-49.92563485511111
22,19,-49.45597262844445
22,20,-48.352648856444446
22,21,-48.6599402499
22,22,-48.750482851111116
22,23,-47.35694588388888
22,24,-47.1311456764
22,25,-46.359039825555556
22,26,-46.32554112733334
22,27,-46.261157796
